date,packages,value,country
07-09-2025,1,27.70,CZ
07-14-2025,2,22.46,SK
07-14-2025,2,22.46,SK
07-14-2025,5,70.00,SK
07-16-2025,3,66.46,CZ
07-31-2025,24,324.00,SK
08-07-2025,1,28.60,CZ
08-10-2025,76,1364.22,SK
08-14-2025,24,255.00,SK
08-18-2025,1,29.58,NL
08-18-2025,2,53.65,NL
08-19-2025,3,72.22,DE
08-23-2025,6,122.68,SK
08-24-2025,4,96.30,SK
08-28-2025,2,51.85,SK
09-09-2025,3,39.00,CZ
09-11-2025,1,27.77,SK
09-11-2025,100,1611.73,CZ
09-15-2025,4,96.30,CZ
09-22-2025,2,38.81,CZ
10-18-2025,3,49.90,ES
10-19-2025,3,49.90,CZ
10-19-2025,3,49.90,NL
10-21-2025,3,49.90,NL
10-22-2025,3,49.90,NL
10-23-2025,3,18.67,SK
10-30-2025,1,28.90,ES
11-08-2025,1,22.60,CZ
11-08-2025,3,51.00,CZ
11-12-2025,3,51.90,ES
11-17-2025,10,119.00,DE
11-21-2025,1,26.90,PT
11-27-2025,3,51.90,ES
11-30-2025,10,119.00,ES
12-01-2025,20,214.20,CZ
12-02-2025,3,48.60,SK
12-07-2025,10,119.00,ES
12-08-2025,3,51.90,ES
12-09-2025,3,48.60,SK
12-13-2025,10,119.00,CZ
12-16-2025,3,44.90,PT
12-16-2025,2,42.50,CZ
12-17-2025,3,44.90,SK
12-18-2025,3,44.90,ES
12-21-2025,3,44.90,DE
12-21-2025,1,26.90,IT
12-25-2025,10,119.00,ES
12-27-2025,3,44.90,NL
01-01-2026,1,25.40,NL
01-15-2026,3,44.90,IE/DE
01-21-2026,10,119.00,BE
01-27-2026,8,92.52,SK
01-28-2026,10,59.50,CZ
01-29-2026,10,59.50,ES
01-30-2026,3,44.90,CZ
02-04-2026,3,,ES
02-06-2026,10,119.00,ES
02-06-2026,3,,PT
02-16-2026,3,,NL
02-19-2026,10,119.00,DE
02-25-2026,20,214.20,CZ
02-26-2026,10,247.54,CZ
02-27-2026,10,107.10,CZ
02-28-2026,3,,DE
03-04-2026,10,119.00,BE
03-06-2026,3,,PT
03-07-2026,50,297.50,NL
03-08-2026,10,119.00,PT
03-10-2026,3,44.90,BE
03-10-2026,6,89.80,NL
03-12-2026,10,59.80,SK
03-13-2026,20,238.00,CZ
03-17-2026,3,44.90,NL
03-20-2026,3,44.90,BE
03-29-2026,3,45.01,DE
03-30-2026,3,40.41,DE
04-02-2026,3,40.41,DE
04-05-2026,10,107.10,DE
04-07-2026,3,31.43,CZ
04-11-2026,3,40.41,DE
04-13-2026,3,44.90,DE
04-24-2026,10,119.00,ES
04-27-2026,3,44.90,CZ
04-27-2026,10,119.00,BE
04-28-2026,1,27.30,ES
04-28-2026,3,44.90,NL
04-28-2026,3,44.90,PT
05-02-2026,3,44.90,NL
05-03-2026,3,44.90,NL
05-12-2026,20,166.60,CZ
05-13-2026,3,40.41,NL
05-14-2026,3,44.90,DE
05-16-2026,20,190.40,ID
05-20-2026,10,95.20,DE
05-22-2026,1,25.70,BE
05-23-2026,3,44.90,DE
05-25-2026,10,95.20,DE
05-25-2026,50,416.50,CZ
05-26-2026,10,71.40,DE
05-26-2026,3,40.41,DE
05-26-2026,1,24.50,DE
05-26-2026,20,170.00,SK
05-27-2026,6,89.80,DE
05-28-2026,10,119.00,CZ
05-28-2026,3,44.90,SK
05-30-2026,10,119.00,ES
05-31-2026,25,250.00,CZ
06-01-2026,10,95.20,CZ
06-02-2026,3,44.90,BE
06-05-2026,10,119.00,CZ
06-06-2026,3,35.92,CZ
06-12-2026,10,119.00,ES
06-12-2026,10,95.20,ES
06-13-2026,10,119.00,IT
06-15-2026,3,39.90,NL
06-18-2026,3,44.90,NL
06-20-2026,3,44.90,BE
06-20-2026,3,44.90,BE
06-21-2026,3,44.90,SK
06-22-2026,3,44.90,BE
06-22-2026,3,39.90,DE
06-23-2026,3,44.90,PT
06-25-2026,13,98.34,SK
06-27-2026,3,40.41,IT
06-27-2026,10,95.20,ES
06-28-2026,3,44.90,IT
06-28-2026,6,84.80,DE
06-29-2026,3,39.90,DE
06-29-2026,3,40.41,IT
06-29-2026,3,31.43,CZ
06-29-2026,10,101.15,ES
07-02-2026,3,44.90,ES
07-05-2026,3,44.90,PT
07-05-2026,10,95.20,DE
